var_index,gene,bin
1219,NTN4,5
1220,BCS1L,17
1221,NUAK1,6
1222,DPP8,19
1223,ZNF532,11
1224,SCARF1,11
1225,LMAN1,24
1226,HACD3,21
1227,IPCEF1,13
1228,ZZEF1,19
1229,NOX3,4
1230,ENO1,24
1231,SLC12A1,1
1232,MYDGF,24
1233,ANO8,13
1234,TUBE1,17
1235,ARHGEF10L,2
1236,TXK,16
1237,WSCD2,3
1238,KCNQ2,6
1239,TACR2,7
1240,ACTR6,18
1241,TIPIN,17
1242,SRI,24
1243,EIF4G3,19
1244,NUP37,22
1245,SEMA3A,8
1246,GTSE1,17
1247,SEMA3C,3
1248,TTC38,12
1249,ACAT1,23
1250,GRAMD4,19
1251,CELSR1,8
1252,WNT8B,3
1253,ZNF638,20
1254,SLC25A40,18
1255,TIMM21,18
1256,ADD2,12
1257,FGF4,2
1258,RASAL2,5
1259,VPS9D1,12
1260,ZNF37A,11
1261,MARK3,17
1262,SLC25A3,24
1263,FNDC3B,19
1264,FOSL2,22
1265,CACNG5,2
1266,CACNG4,2
1267,FRYL,21
1268,TMEM131,19
1269,FSCN1,12
1270,ACTB,24
1271,MOCOS,8
1272,PLD1,10
1273,ATP12A,11
1274,WDR62,15
1275,DLG1,19
1276,RAB7A,22
1277,BCAP29,20
1278,SEC31B,18
1279,SART3,20
1280,ARHGAP15,24
1281,TUBA3D,0
1282,PAX2,3
1283,EXOSC7,21
1284,KIFAP3,14
1285,MKRN2,17
1286,MCM6,24
1287,REXO2,24
1288,RBM7,21
1289,RBMS2,11
1290,BAZ2A,20
1291,PTPN23,18
1292,MLH1,21
1293,UNG,15
1294,FMO4,9
1295,KLHL20,15
1296,RGS11,5
1297,SLC46A1,10
1298,PLXNA2,8
1299,SPAG5,21
1300,ANKRD13A,20
1301,TPD52,17
1302,ACACB,11
1303,TRAF4,21
1304,PAG1,21
1305,GPATCH1,13
1306,ICAM3,22
1307,NT5C2,18
1308,MCAM,10
1309,GPC4,4
1310,MBNL3,16
1311,CAMSAP3,9
1312,RAP1GAP,8
1313,XAB2,21
1314,ARHGEF1,24
1315,STXBP2,21
1316,MAP2K7,19
1317,NMRK2,3
1318,DGKD,19
1319,CTTNBP2,3
1320,ACTL6B,5
1321,RARB,1
1322,TOP2B,17
1323,TM9SF3,24
1324,NFKB2,24
1325,UBE2T,23
1326,PPP1R12B,15
1327,DNAJC10,20
1328,GTF3C1,20
1329,IL4R,14
1330,USP33,22
1331,PAK3,8
1332,CAPN6,2
1333,DCX,1
1334,SNRPA,23
1335,SPAG6,8
1336,EXOSC5,14
1337,DYNC1I2,22
1338,APBB1IP,24
1339,LRCH4,21
1340,FAM76B,19
1341,SIRT6,16
1342,TYR,0
1343,POLD3,19
1344,ACTN2,6
1345,CAPZB,24
1346,GPR137B,12
1347,NAALAD2,6
1348,JADE1,18
1349,SLC25A43,13
1350,UBE2A,24
1351,FGFR1,14
1352,FKBP6,2
1353,SMC1B,8
1354,FBLN1,4
1355,ITGA8,1
1356,CST7,24
1357,MAP2,5
1358,PIAS2,16
1359,AMPH,6
1360,ARAF,21
1361,MCCC1,18
1362,LAMP3,13
1363,FAP,5
1364,NEBL,8
1365,ACER3,13
1366,UBE2K,17
1367,PIK3C3,18
1368,N4BP2,21
1369,TIGAR,18
1370,TULP3,13
1371,SYNJ2,16
1372,ADCY2,1
1373,PPP2R5C,23
1374,RBFOX1,3
